StartDate,EndValue,LongValue,N_Buys,N_Sells,N,Threshold
2020-04-05 05:00:00+00:00,5978901.450000001,1468448.0499999998,33,33,5,1
2020-05-25 05:00:00+00:00,5488437.12,1212571.63,34,34,5,1
2020-05-30 05:00:00+00:00,5496085.459999999,1195418.08,34,33,5,1
2020-06-04 05:00:00+00:00,5396334.99,1025526.0999999999,34,34,5,1
2020-06-09 05:00:00+00:00,5247438.540000001,968629.96,33,33,5,1
2020-06-14 05:00:00+00:00,5111390.940000001,1005305.25,34,34,5,1
2020-06-19 05:00:00+00:00,4856019.489999997,873201.5800000001,34,34,5,1
2020-06-24 05:00:00+00:00,5368881.3,795787.5599999999,34,33,5,1
2020-06-29 05:00:00+00:00,5527796.649999999,951899.0999999999,35,34,5,1
2020-07-04 05:00:00+00:00,5419831.250000001,989633.71,35,34,5,1
2020-07-09 05:00:00+00:00,5588668.639999997,825134.32,34,34,5,1
2020-07-14 05:00:00+00:00,5875860.439999998,829997.8,35,34,5,1
2020-07-19 05:00:00+00:00,5434691.179999999,885722.92,36,35,5,1
2020-07-24 05:00:00+00:00,5050871.479999999,846937.5,36,35,5,1
2020-07-29 05:00:00+00:00,4593178.34,795416.8,36,35,5,1
2020-08-03 05:00:00+00:00,5331417.9399999995,754865.5,36,35,5,1
2020-08-09 05:00:00+00:00,5653029.329999998,803661.3099999999,35,34,5,1
2020-08-14 05:00:00+00:00,5688302.590000001,756212.1599999999,34,33,5,1
2020-08-19 05:00:00+00:00,5729012.490000001,789320.53,35,34,5,1
2020-08-27 05:00:00+00:00,5117221.279999999,784190.43,35,35,5,1
2020-09-01 05:00:00+00:00,5690654.719999997,760961.4,35,34,5,1
2020-09-06 05:00:00+00:00,6050154.81,1228361.8699999999,35,34,5,1
2020-09-11 05:00:00+00:00,5801834.550000001,906839.4,34,34,5,1
2020-09-16 05:00:00+00:00,6441186.109999999,1004420.0,34,33,5,1
2020-09-21 05:00:00+00:00,5941083.550000001,792856.99,34,34,5,1
2020-09-26 05:00:00+00:00,5701711.739999998,806897.2100000001,34,34,5,1
2020-10-01 05:00:00+00:00,5818306.139999998,845196.2800000001,35,35,5,1
2020-10-06 05:00:00+00:00,6217590.799999999,990995.5,36,35,5,1
2020-10-11 05:00:00+00:00,6472633.659999998,932720.1,35,35,5,1
2020-10-16 05:00:00+00:00,6986551.510000001,1036376.2,36,35,5,1
2020-10-21 05:00:00+00:00,7150551.459999997,1092723.2400000002,36,35,5,1
2020-10-26 05:00:00+00:00,7165451.459999996,1044083.92,37,36,5,1
2020-10-31 05:00:00+00:00,7856186.389999998,1115193.25,37,36,5,1
2020-11-05 06:00:00+00:00,7128620.919999996,1121097.9999999998,38,37,5,1
2020-11-10 06:00:00+00:00,7115311.599999996,1048735.66,38,37,5,1
2020-11-15 06:00:00+00:00,6886676.969999997,1024176.12,38,38,5,1
2020-11-20 06:00:00+00:00,5666484.889999997,872800.96,37,37,5,1
2020-11-25 06:00:00+00:00,5193571.199999996,719157.28,38,38,5,1
2020-11-30 06:00:00+00:00,4886373.2399999965,750865.33,39,38,5,1
2020-12-05 06:00:00+00:00,5093277.339999998,707177.2000000001,38,38,5,1
2020-12-10 06:00:00+00:00,4907604.66,733580.3200000001,39,39,5,1
2020-12-15 06:00:00+00:00,4355686.469999999,662563.84,39,39,5,1
2020-12-20 06:00:00+00:00,4451660.159999999,588515.2300000001,39,39,5,1
2020-12-25 06:00:00+00:00,3923378.9999999986,660182.1,40,39,5,1
2020-12-30 06:00:00+00:00,2626342.840000001,499748.88,40,40,5,1
2021-01-04 06:00:00+00:00,2418272.1799999992,340860.62,42,40,5,1
2021-01-09 06:00:00+00:00,2192258.9999999995,262477.0,40,40,5,1
2021-01-14 06:00:00+00:00,1967663.8999999992,294545.1,41,40,5,1
2021-01-19 06:00:00+00:00,2059615.1999999995,233140.0,40,40,5,1
2021-01-24 06:00:00+00:00,2096721.2999999996,185978.8,39,39,5,1
2021-01-29 06:00:00+00:00,1831862.4999999998,193214.0,40,39,5,1
2021-02-03 06:00:00+00:00,1844518.4999999995,170688.0,40,38,5,1
2021-02-08 06:00:00+00:00,1926849.7,197960.0,40,38,5,1
2021-02-13 06:00:00+00:00,1894123.7999999998,156529.8,38,38,5,1
2021-02-18 06:00:00+00:00,1777107.8000000007,152265.2,38,37,5,1
2021-02-23 06:00:00+00:00,1775761.4000000008,161128.0,38,38,5,1
2021-02-28 06:00:00+00:00,1740041.5,191330.3,38,37,5,1
2021-03-05 06:00:00+00:00,1585675.4000000004,177264.4,38,38,5,1
2021-03-10 06:00:00+00:00,1548895.8999999997,143461.0,38,36,5,1
2021-03-15 05:00:00+00:00,1507572.2999999996,136623.0,37,37,5,1
2021-03-20 05:00:00+00:00,1764078.4999999998,159232.6,37,36,5,1
2021-03-25 05:00:00+00:00,1802715.9999999998,198525.7,37,36,5,1
2021-03-30 05:00:00+00:00,1723405.7999999998,186487.5,37,36,5,1
2021-04-04 05:00:00+00:00,1863753.4999999995,172877.7,37,36,5,1
2021-04-09 05:00:00+00:00,1636307.9000000004,154384.0,37,37,5,1
2021-04-14 05:00:00+00:00,1568046.7999999998,130920.4,36,36,5,1
2021-04-19 05:00:00+00:00,1570362.0999999996,133316.4,36,36,5,1
2021-04-24 05:00:00+00:00,1265112.1,127765.09999999999,37,37,5,1
2021-04-29 05:00:00+00:00,1013042.7000000001,108421.2,37,37,5,1
2021-05-04 05:00:00+00:00,857760.3999999996,83818.0,38,37,5,1
2021-05-09 05:00:00+00:00,899637.2000000001,64080.00000000001,37,37,5,1
2021-05-14 05:00:00+00:00,899637.2000000001,53683.6,37,37,5,1
2021-05-19 05:00:00+00:00,906594.8000000002,66731.0,38,38,5,1
2021-05-24 05:00:00+00:00,890422.1000000002,93904.1,38,37,5,1
2021-05-29 05:00:00+00:00,855137.8999999996,71780.0,38,38,5,1
2021-06-03 05:00:00+00:00,855975.8000000002,65630.80000000002,38,38,5,1
2021-06-08 05:00:00+00:00,929584.6000000001,72480.0,40,39,5,1
2021-06-13 05:00:00+00:00,937163.8000000002,58449.399999999994,39,39,5,1
2021-06-18 05:00:00+00:00,937163.8000000002,46403.799999999996,39,39,5,1
2021-06-23 05:00:00+00:00,908982.6,54685.0,40,39,5,1
2021-06-28 05:00:00+00:00,954475.7000000001,60124.99999999999,39,38,5,1
2021-07-03 05:00:00+00:00,903090.4,51010.0,38,38,5,1
2021-07-08 05:00:00+00:00,1073177.6,56118.8,39,38,5,1
2021-07-13 05:00:00+00:00,975657.5000000001,52401.40000000001,38,38,5,1
2021-07-18 05:00:00+00:00,1188148.7000000002,71570.0,39,38,5,1
2021-07-23 05:00:00+00:00,1214754.8,76369.59999999998,39,38,5,1
2021-07-28 05:00:00+00:00,1189117.7000000002,72015.59999999999,40,39,5,1
2021-08-02 05:00:00+00:00,1065694.7000000002,62091.999999999985,39,39,5,1
2021-08-07 05:00:00+00:00,1009170.6,57670.9,40,39,5,1
