,Symbol
0,AAPL
1,MSFT
2,GPRO
3,PLUG
4,SNAP
5,FIT
6,BA
7,MRNA
8,AMD
9,FB
10,T
11,UBER
12,TWTR
13,APHA
14,NVDA
15,ZNGA
16,INO
17,NOK
18,SQ
19,ZM
20,CPRX
21,GOOGL
22,WORK
23,INTC
24,GILD
25,LYFT
26,PYPL
27,CRBP
28,IBIO
29,KODK
30,SRNE
31,TXMD
32,FSLY
33,NVAX
34,TCEHY
35,IDEX
36,AZN
37,O
38,SHOP
39,CRM
40,CSCO
41,VXRT
42,OCGN
43,VKTX
44,VZ
45,PINS
46,IGC
47,TTNP
48,OGEN
49,DOCU
50,EVRI
51,GLUU
52,VBIV
53,MU
54,ROKU
55,GOOG
56,RUN
57,QCOM
58,ABBV
59,INSG
60,XXII
61,ORCL
62,ABT
63,CRWD
64,ONTX
65,RIGL
66,TWLO
67,LLNW
68,MVIS
69,MTNB
70,HTBX
71,SPOT
72,BILI
73,MA
74,OPK
75,LVGO
76,TSM
77,NET
78,CRSP
79,ERIC
80,DBX
81,MMM
82,TDOC
83,TNXP
84,ADBE
85,IBM
86,TEVA
87,ZYNE
88,SE
89,GERN
90,AMRN
91,NOVN
92,VGT
93,NTEC
94,NEPT
95,MRVL
96,GRWG
97,JMIA
98,OKTA
99,SLB
100,GEVO
101,BNGO
102,TRVN
103,APPS
104,BNTX
105,TTD
106,MRK
107,IQ
108,VSTM
109,CARA
110,FVRR
111,CODX
112,OVID
113,AMAT
114,UPWK
115,LMT
116,IRM
117,DDOG
118,IZEA
119,ADMA
120,XLK
121,TTOO
122,TRNX
123,DVAX
124,SABR
125,RHHBY
126,HON
127,INUV
128,AGRX
129,IMGN
130,BIDU
131,CAT
132,NXTD
133,NDAQ
134,AYX
135,HUYA
136,GWPH
137,SENS
138,DOW
139,BAYRY
140,SEDG
141,GSK
142,CLDR
143,BMY
144,BCRX
145,BB
146,ACST
147,HPQ
148,DGLY
149,APPN
150,REGN
151,WIX
152,MESO
153,FSLR
154,NOW
155,NBRV
156,CVNA
157,INFY
158,ARKF
159,MOMO
160,GLW
161,KTOS
162,IMAX
163,TEAM
164,SWKS
165,GOGO
166,PTN
167,MDT
168,MIST
169,JAGX
170,EXPE
171,EVFM
172,AIM
173,WDC
174,BLU
175,AUPH
176,SELB
177,AVGR
178,GRUB
179,BSX
180,AMRX
181,CPHI
182,BKYI
183,TBIO
184,HPE
185,TRVG
186,ABUS
187,EDIT
188,ADMP
189,ZS
190,CBAY
191,BIOL
192,CLSN
193,DDD
194,IGT
195,ADXS
196,LOGI
197,EB
198,LLY
199,ADSK
200,SPLK
201,DXCM
202,INVVY
203,STM
204,MDB
205,GD
206,AKBA
207,MYL
208,AMPE
209,SINT
210,MELI
211,PRPL
212,NTNX
213,NSPR
214,ZSAN
215,HMHC
216,OTLK
217,VIR
218,IMV
219,AVCO
220,ATHX
221,TXN
222,IRBT
223,DOYU
224,CBAT
225,YEXT
226,VRAY
227,MEIP
228,WATT
229,TAK
230,OPGN
231,UMC
232,BOX
233,ZUO
234,ISRG
235,UXIN
236,APT
237,BZUN
238,NBY
239,MAXR
240,TMO
241,PANW
242,HTGM
243,AQST
244,INTU
